bioID,useFirst,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race
amundlo01,Louis,Louis,Gabriel,Amundson,,,,Lou,F,0,0,81,225,UNLV,,12/7/1982,Ventura,CA,USA,Boulder / Monarch,Boulder / Louisville,CO,USA,0000-00-00,W
anderal01,Alan,Alan,Jeffery,Anderson,,,,,G-F,0,0,78,220,Michigan State,,10/16/1982,Minneapolis,MN,USA,DeLaSalle,Minneapolis,MN,USA,0000-00-00,B
anderch01,Chris,Chris,,Andersen,,,,Birdman,F-C,0,0,82,220,Blinn CC,,7/7/1978,Iola,TX,USA,Iola,Iola,TX,USA,0000-00-00,W
anderda02,Daniel,Daniel,Edward,Anderson,,,,"Dan, Danny",G,0,0,74,185,USC,,1/1/1951,,,,North,Torrance,CA,USA,0000-00-00,W
anderde01,Derek,Derek,Lamont,Anderson,,,,,G,0,0,76,194,Kentucky,Ohio State,7/18/1974,Louisville,KY,USA,Doss,Louisville,KY,USA,0000-00-00,B
anderdw01,Dwight,Dwight,Anthony,Anderson,,,,,G,0,0,75,175,USC,Kentucky,12/28/1960,Dayton,OH,USA,Roth,Dayton,OH,USA,0000-00-00,B
anderer01,Eric,Eric,Walfred,Anderson,,,,,F,0,0,81,220,Indiana,,5/26/1970,Chicago,IL,USA,St. Francis DeSales,Chicago,IL,USA,0000-00-00,W
anderja01,James,James,Lee,Anderson,,,,,G,0,0,78,215,Oklahoma State,,3/25/1989,El Dorado,AR,USA,Junction City,Junction City,AR,USA,0000-00-00,B
anderje01,Jerome,Jerome,,Anderson,,,,Jay,G,0,0,77,195,West Virginia,,10/9/1953,Mullens,WV,USA,Mullens,Mullens,WV,USA,8/1/2009,B
andermi01,Michael,Michael,Levin,Anderson,,,,,G,0,0,71,184,Drexel,,3/23/1966,Philadelphia,PA,USA,Engineering&Sciences,Philadelphia,PA,USA,0000-00-00,B
anderri01,Richard,Richard,Andrew,Anderson,,,,,F-C,0,0,82,240,Cal. St.-Santa Barbara,,11/19/1960,San Pedro,CA,USA,Rancho Alamitos,Garden Grove,CA,USA,0000-00-00,W
andersh01,Shandon,Shandon,Rodriguez,Anderson,,,,Rod,F-G,0,0,78,208,Georgia,,12/31/1973,Atlanta,GA,USA,Crim,Atlanta,GA,USA,0000-00-00,B
anderwi01,Willie,Willie,Lloyd,Anderson,,,Jr.,Chill,G-F,0,0,79,190,Georgia,,1/8/1967,Greenville,SC,USA,East Atlanta,Atlanta,GA,USA,0000-00-00,B
andrima01,Martynas,Martynas,,Andriuskevicius,,,,Marty,C,0,0,86,240,none,,3/12/1986,Kaunas,,LTU,,,,,0000-00-00,W
anslemi01,Michael,Michael,Antonio,Ansley,,,,,F,0,0,79,225,Alabama,,2/8/1967,Birmingham,AL,USA,Jackson-Olin,Birmingham,AL,USA,0000-00-00,B
anthoca01,Carmelo,Carmelo,Kyam,Anthony,,,,Melo,F,0,0,80,220,Syracuse,,5/29/1984,Brooklyn,NY,USA,Towson Catholic / Oak Hill Academy,Towson / Mouth of Wilson,MD / VA,USA,0000-00-00,B
araujra01,Rafael,Rafael,Paulo,Araujo,,,,,C,0,0,83,290,Brigham Young,Arizona Western JC,8/12/1980,Curitiba,,BRA,Padre Anacleto,Sao Paulo,,BRA,0000-00-00,W
arcenst01,Stacey,Stacey,,Arceneaux,,Robert L. Stacey,, Bob Arceneaux in hs,F,0,0,76,210,Iowa State (dnp) ?,,2/17/1936,,,,Taft,New York,NY,USA,0000-00-00,B
archiro01,Robert,Robert,Michael,Archibald,,,,,F,0,0,83,250,Illinois,,3/29/1980,Paisley,,SCO,Lafayette,Ballwin,MO,USA,0000-00-00,W
arenagi01,Gilbert,Gilbert,Jay,Arenas,,,,Agent Zero,G,0,0,75,191,Arizona ,,1/6/1982,Tampa,FL,USA,Grant,Van Nuys,CA,USA,0000-00-00,B
arizatr01,Trevor,Trevor,Anthony,Ariza,,,,,F,0,0,79,194,UCLA,,6/30/1985,Miami,FL,USA,Westchester,Los Angeles,CA,USA,0000-00-00,B
arizipa01,Paul,Paul,Joseph,Arizin,,,,Pitchin' Paul,F-G,0,0,74,190,Villanova,,4/9/1928,Philadelphia,PA,USA,LaSalle (DNP),Philadelphia,PA,USA,12/12/2006,W
armstbr01,Brandon,Brandon,Simone,Armstrong,,,,,G,0,0,77,185,Pepperdine,,6/16/1980,San Francisco,CA,USA,Vallejo,Vallejo,CA,USA,0000-00-00,B
armstda01,Darrell,Darrell,Eugene,Armstrong,,,,,G,0,0,72,169,Fayetteville State,,6/22/1968,Gastonia,NC,USA,Ashbrook,Gastonia,NC,USA,0000-00-00,B
armsthi01,Hilton,Hilton,A.,Armstrong,,,Jr.,,F-C,0,0,83,235,Connecticut,,11/11/1984,Peekskill,NY,USA,Peekskill,Peekskill,NY,USA,0000-00-00,B
arnetja01,Jay,Jay,Hoyland,Arnette,,,,,G,0,0,74,175,Texas,,12/19/1938,Austin,TX,USA,McCallum,Austin,TX,USA,0000-00-00,W
arthujo01,John,John,Charles,Arthurs,,,,,G,0,0,76,185,Tulane,,8/15/1947,,,,DeLaSalle,New Orleans,LA,USA,0000-00-00,W
asikom01,Omer,Omer,Faruk,Asik,,,,,C-F,0,0,84,255,none,,7/4/1986,Bursa,,TUR,,,,,0000-00-00,W
askewvi01,Vincent,Vincent,Jerome,Askew,,,,,G-F,0,0,77,210,Memphis State,,2/28/1966,Memphis,TN,USA,Frayser,Memphis,TN,USA,0000-00-00,B
askinke01,Keith,Keith,Bernard,Askins,,,,,G-F,0,0,79,197,Alabama,,12/15/1967,Athens,AL,USA,Athens,Athens,AL,USA,0000-00-00,B
augmost01,Stacey,Stacey,Orlando,Augmon,,,,The Plastic Man,G-F,0,0,78,205,UNLV,,8/1/1968,Pasadena,CA,USA,John Muir,Pasadena,CA,USA,0000-00-00,B
augusja01,James,James,Dale,Augustine,,,,,F,0,0,82,235,Illinois,,2/27/1984,Midlothian,IL,USA,Lincoln-Way Central,Mokena,IL,USA,0000-00-00,W
austiis01,Isaac,Isaac,Edward,Austin,,,,Ike,F-C,0,0,82,255,Arizona State,Kings River (CA),8/18/1969,Gridley,CA,USA,Las Plumas,Oroville,CA,USA,0000-00-00,B
austike01,Ken,Ken,,Austin,,,,,F,0,0,81,200,Rice,,7/15/1961,Los Angeles,CA,USA,Verbum Dei,Los Angeles,CA,USA,0000-00-00,B
aventan01,Anthony,Anthony,,Avent,,,,A.A.,F,0,0,81,235,Seton Hall,,10/18/1969,Rocky Mount,NC,USA,M.X. Shabbaz,Newark,NJ,USA,0000-00-00,B
averywi01,William,William,,Avery,,,,Will,G,0,0,74,180,Duke,,8/8/1979,Augusta,GA,USA,Westside / Oak Hill Academy,Augusta / Mouth of Wilson,GA / VA,USA,0000-00-00,B
awtrede01,Dennis,Dennis,Wade,Awtrey,,,,,C,0,0,82,235,Santa Clara,,2/22/1948,Hollywood,CA,USA,Blackford,San Jose,CA,USA,0000-00-00,W
azubuke01,Kelenna,Kelenna,David,Azubuike,,,,,G,0,0,77,220,Kentucky,,12/16/1983,London,,ENG,Victory Christian School,Tulsa,OK,USA,0000-00-00,B
babbilu01,Luke,Luke,Robert,Babbitt,,,,,F,0,0,81,225,Nevada-Reno,,6/20/1989,Cincinnati,OH,USA,Galena,Reno,NV,USA,0000-00-00,W
babicmi01,Milos,Milos,,Babic,,,,,C-F,0,0,84,240,Tennessee Tech,,11/23/1968,Kraljevo,,YUG,Kraljevo,Kraljevo,,YUG,0000-00-00,W
bagarda01,Dalibor,Dalibor,,Bagaric,,,,,C,0,0,85,255,none,,2/7/1980,Munich,,GER,,,,,0000-00-00,W
baglejo01,John,John,Edward,Bagley,,,,Bags,G,0,0,72,185,Boston College,,4/23/1960,Bridgeport,CT,USA,Warren Harding,Bridgeport,CT,USA,0000-00-00,B
baileca01,Carl,Carl,,Bailey,,,,,C,0,0,84,210,Tuskegee,,4/23/1958,Birmingham,AL,USA,Jackson-Olin,Birmingham,AL,USA,0000-00-00,B
baileja01,James,James,L.,Bailey,,,,Jammin' James,F-C,0,0,81,220,Rutgers,,5/21/1957,Dublin,GA,USA,Xaverian,Westwood,MA,USA,0000-00-00,B
baileth01,Thurl,Thurl,Lee,Bailey,,,,Big T.,F-C,0,0,83,215,North Carolina State,,4/7/1961,Washington,DC,USA,Bladensburg,Bladensburg,MD,USA,0000-00-00,B
bakerji01,Jimmie,Jimmie,,Baker,,,Jr.,,F,0,0,81,220,Hawaii,UNLV,12/25/1953,Philadelphia,PA,USA,Olney,Philadelphia,PA,USA,0000-00-00,B
bakerla01,LaMark,LaMark,Anthony,Baker,,,,Mark,G,0,0,73,175,Ohio State,,11/11/1969,Dayton,OH,USA,Paul L. Dunbar,Dayton,OH,USA,0000-00-00,B
bakerma01,Maurice,Maurice,,Baker,,,,,G,0,0,73,175,Oklahoma State,Dixie College,7/28/1979,Granite City,IL,USA,Madison,Madison,IL,USA,0000-00-00,B
balkmre01,Renaldo,Renaldo,,Balkman,,,,,F,0,0,80,208,South Carolina,,7/14/1984,Staten Island,NY,USA,Laurinburg / IMG Academy / Blake / Armwood,Laurinburg / Bradenton / Tampa / Seffner,NC/FL/FL/FL,USA,0000-00-00,B
ballce01,Cedric,Cedric,Glenn,Ball,,,,,F,0,0,80,210,UNC-Charlotte,,4/16/1968,Worcester,MA,USA,South,Worcester,MA,USA,0000-00-00,B
baltihe01,Herschel,Herschel,David,Baltimore,,,,Herk,F,0,0,76,195,Penn State,,6/21/1921,(ht) New Castle,PA,USA,New Castle Senior,New Castle,PA,USA,1/1/1968,W
bankswa01,Walker,Walker,Burrell,Banks,,,Jr.,,C,0,0,82,205,Western Kentucky,,8/26/1947,,,,Clifton Forge,Clifton Forge,VA,USA,0000-00-00,B
barbejo01,John,John,,Barber,,,,,F,0,0,78,210,Los Angeles State,,6/27/1927,,,,Pruitt,Atlanta,TX,USA,0000-00-00,B
barbole01,Leandro,Leandro,Mateus,Barbosa,,,,Leandrinho,G,0,0,75,176,none,,11/28/1982,Sao Paulo,SP,BRA,,,,,0000-00-00,B
bargnan01,Andrea,Andrea,,Bargnani,,,,,F,0,0,84,225,none,,10/26/1985,Rome,,ITA,,,,,0000-00-00,W
barklch01,Charles,Charles,Wade,Barkley,,,,"Sir Charles, Chuck, The Chuckster",F,0,0,77,250,Auburn,,2/20/1963,Leeds,AL,USA,Leeds,Leeds,AL,USA,0000-00-00,B
barkler01,Erick,Erick,,Barkley,,,,,G,0,0,73,177,St. John's (NY),,2/21/1978,Brooklyn,NY,USA,Christ the King / Maine Central Institute,Middle Village / Pittsfield,NY / ME,USA,0000-00-00,B
barneha01,Harry,Harry,J.,Barnes,,,,,F,0,0,75,205,Northeastern,,7/25/1945,Youngstown,OH,USA,,,,,0000-00-00,B
barnema01,Marvin,Marvin,Jerome,Barnes,,,,"Good News, The Magnificent",F-C,0,0,80,210,Providence,,7/27/1952,Providence,RI,USA,Central,Providence,RI,USA,0000-00-00,B
barnema02,Matt,Matt,Kelly,Barnes,,,,,F,0,0,79,235,UCLA,,3/9/1980,Santa Clara,CA,USA,Del Campo,Sacramento,CA,USA,0000-00-00,B
barnhjo01,John,John,Anthony,Barnhill,,,,Rabbit,G,0,0,73,170,Tennessee State,,3/20/1938,Evansville,IN,USA,Lincoln,Evansville,IN,USA,0000-00-00,B
barnhno01,Norton,Norton,,Barnhill,,,,,G,0,0,76,205,Washington State,,7/15/1953,Winston-Salem,NC,USA,West Forsyth / Anderson / Atkins,Clemmons / Winston-Salem / Winston-Salem,NC,USA,0000-00-00,B
barrean01,Andre,Andre,Rashawd,Barrett,,,,,G,0,0,70,172,Seton Hall,,2/21/1982,Bronx,NY,USA,Rice,New York,NY,USA,0000-00-00,B
barreer01,Ernie,Ernie,Drew,Barrett,,,,Black Jack,G-F,0,0,75,180,Kansas State,,8/27/1929,Pratt,KS,USA,Wellington,Wellington,KS,USA,0000-00-00,W
barroda01,Dana,Dana,Bruce,Barros,,,,,G,0,0,71,163,Boston College,,4/13/1967,Boston,MA,USA,Xaverian,Westwood,MA,USA,0000-00-00,B
barroea01,Earl,Earl,Daniel,Barron,,,Jr.,,C,0,0,84,245,Memphis,,8/14/1981,Clarksdale,MS,USA,Clarksdale,Clarksdale,MS,USA,0000-00-00,B
barrybr01,Brent,Brent,Robert,Barry,,,,Bones,G,0,0,78,185,Oregon State,,12/31/1971,Hempstead,NY,USA,De La Salle Catholic,Concord,CA,USA,0000-00-00,W
barrydr01,Drew,Drew,William,Barry,,,,,G,0,0,77,190,Georgia Tech,,2/17/1973,Oakland,CA,USA,De La Salle Catholic,Concord,CA,USA,0000-00-00,W
barryjo01,Jon,Jon,Alan,Barry,,,,J.B.,G,0,0,76,195,Georgia Tech,Pacific/Paris JC,7/25/1969,Oakland,CA,USA,De La Salle Catholic,Concord,CA,USA,0000-00-00,W
baskeje01,Jerry,Jerry,W.,Baskerville,,,,,F,0,0,79,190,Temple,UNLV,11/10/1951,Philadelphia,PA,USA,Thomas Edison,Philadelphia,PA,USA,0000-00-00,B
bassbr01,Brandon,Brandon,Sam,Bass,,,,B Bass,F,0,0,80,240,Louisiana State,,4/30/1985,Baton Rouge,LA,USA,Capitol,Baton Rouge,LA,USA,0000-00-00,B
bastoma01,Maceo,Maceo,Demond,Baston,,,,,F,0,0,81,215,Michigan ,,5/29/1975,Corsicana,TX,USA,H. Grady Spruce,Dallas,TX,USA,0000-00-00,B
bateeme01,Mengke,Mengke,,Bateer,,,,Dinosaur,C,0,0,83,290,none,,11/20/1975,Inner Mongolia,,CHN,,,,,0000-00-00,O
battish01,Shane,Shane,Courtney,Battier,,,,,G-F,0,0,80,220,Duke,,9/9/1978,Birmingham,MI,USA,Detroit Country Day,Beverly Hills,MI,USA,0000-00-00,B
battljo01,John,John,Sidney,Battle,,,,"Cricket, Pickle, J.B.",G,0,0,74,175,Rutgers,,11/9/1962,Washington,DC,USA,McKinley,Washington,DC,USA,0000-00-00,B
battsll01,Lloyd,Lloyd,,Batts,,,,,G-F,0,0,76,185,Cincinnati,,5/9/1951,Chicago,IL,USA,Thornton,Harvey,IL,USA,0000-00-00,B
baxtelo01,Lonny,Lonny,Leroy,Baxter,,,,,F,0,0,79,260,Maryland,,7/27/1979,Silver Spring,MD,USA,Montgomery / Anacostia / Hargrave,Rockville / Washington / Chatham,MD / DC / VA,USA,0000-00-00,B
bayloel01,Elgin,Elgin,Gay,Baylor,,,,Rabbit,F,0,0,77,225,Seattle,College of Idaho,9/16/1934,Washington,DC,USA,Spingarn / Phelps Vocational,Washington,DC,USA,0000-00-00,B
bayneho01,Howard,Howard,Edgar,Bayne,,,,,F,0,0,78,235,Tennessee,,7/28/1942,(ht) Dayton,OH,USA,Colonel White,Dayton,OH,USA,0000-00-00,W
bazarse01,Sergei,Sergei,Valeryanovich,Bazarevich,,,,,G,0,0,74,162,State Academy of Phys Ed.,,3/16/1965,Moscow,,RUS,,,,,0000-00-00,W
beardra01,Ralph,Ralph,Milton,Beard,,,Jr.,,G,0,0,70,175,Kentucky,,12/2/1927,Hardinsburg,KY,USA,Male,Louisville,KY,USA,11/29/2007,W
beaslje01,Jerome,Jerome,,Beasley,,,,,F,0,0,81,237,North Dakota,Midland JC,5/17/1980,Compton,CA,USA,Moreno Valley,Moreno Valley,CA,USA,0000-00-00,B
beasljo01,John,John,Michael,Beasley,,,,,F-C,0,0,81,225,Texas A&M,,2/5/1944,Texarkana,TX,USA,Linden-Kildare,Kildare,TX,USA,0000-00-00,W
beatyze01,Zelmo,Zelmo,,Beaty,,,Jr.,"Big Z, Mr. Clean",C,0,0,81,225,Prairie View A&M,,10/25/1939,Hillister,TX,USA,Woodville,Woodville,TX,USA,0000-00-00,B
beckco01,Corey,Corey,Laveon,Beck,,,,,G,0,0,73,190,Arkansas,South Plains,5/27/1971,Memphis,TN,USA,Fairley,Memphis,TN,USA,0000-00-00,B
bedfowi01,William,William,,Bedford,,,,,C,0,0,84,225,Memphis State,,12/14/1963,Memphis,TN,USA,Melrose,Memphis,TN,USA,0000-00-00,B
behnkel01,Elmer,Elmer,H.,Behnke,,,,,C,0,0,79,210,Bradley,,2/3/1929,Rockford,IL,USA,Marengo,Marengo,IL,USA,0000-00-00,W
bellch01,Charlie,Charlie,Will,Bell,,,III,,G,0,0,75,200,Michigan State,,3/12/1979,Flint,MI,USA,Southwestern Academy,Flint,MI,USA,0000-00-00,B
bellde01,Dennis,Dennis,R.,Bell,,,,,F,0,0,77,185,Drake,Gulf Coast CC,6/2/1951,Cincinnati,OH,USA,Wyoming,Cincinnati,OH,USA,0000-00-00,B
bellra01,Raja,Raja,,Bell,,,,,G,0,0,77,210,Florida International,Boston U.,9/19/1976,St. Croix,,ISV,Killian,Miami,FL,USA,0000-00-00,B
belltr01,Troy,Troy,Devon,Bell,,,,,G,0,0,73,180,Boston College,,11/10/1980,Minneapolis,MN,USA,Academy of Holy Angels,Richfield,MN,USA,0000-00-00,B
benbole01,Leon,Leon,,Benbow,,,,,G,0,0,76,185,Jacksonville,,7/23/1950,Columbia,SC,USA,Booker T. Washington,Columbia,SC,USA,0000-00-00,B
bendejo01,Jonathan,Jonathan,Rene,Bender,,,,,F,0,0,83,198,none,,1/30/1981,Picayune,MS,USA,Picayune Memorial,Picayune,MS,USA,0000-00-00,B
benjaco01,Corey,Corey,Dwight,Benjamin,,,,,G,0,0,78,200,Oregon State,,2/24/1978,Compton,CA,USA,Fontana,Fontana,CA,USA,0000-00-00,B
benneel01,Elmer,Elmer,James,Bennett,,,,,G,0,0,72,170,Notre Dame,,2/13/1970,Evanston,IL,USA,Bellaire,Bellaire,TX,USA,0000-00-00,B
bennema01,Mario,Mario,Marcell,Bennett,,,,,F,0,0,81,220,Arizona State,,8/1/1973,Denton,TX,USA,Denton,Denton,TX,USA,0000-00-00,B
bennewi01,Winston,Winston,George,Bennett,,,III,Steady Bee,F,0,0,79,210,Kentucky,,2/9/1965,Louisville,KY,USA,Male,Louisville,KY,USA,0000-00-00,B
benoida01,David,David,,Benoit,,,,,F,0,0,80,220,Alabama,Tyler JC,5/9/1968,Lafayette,LA,USA,Lafayette,Lafayette,LA,USA,0000-00-00,B
bensoke02,Keith,Keith,A.,Benson,,,Jr.,,F-C,0,0,83,230,Oakland,,8/13/1988,Cleveland,OH,USA,Detroit Country Day,Beverly Hills,MI,USA,0000-00-00,B
bergega01,Gary,Gary,Dean,Bergen,,,,,C,0,0,80,210,Utah,Kansas State,7/16/1932,Independence,MO,USA,William Chrisman,Independence,MO,USA,0000-00-00,W
berghla01,Larry,Larry,Clifford,Bergh,,,,,F,0,0,79.5,210,Weber State,,4/2/1945,(ht) Walla Walla,WA,USA,DeSales,Walla Walla,WA,USA,0000-00-00,W
berryri01,Ricky,Ricky,Alan,Berry,,,,,F,0,0,80,205,San Jose State,Oregon State,10/6/1964,Lansing,MI,USA,Live Oak,Morgan Hill,CA,USA,8/14/1989,B
berrywa01,Walter,Walter,,Berry,,,,Truth,F,0,0,80,215,St. John's (NY),San Jacinto JC,5/14/1964,New York,NY,USA,Morris/Clinton/Franklin,Bronx / Bronx / Brooklyn,NY,USA,0000-00-00,B
